Hour,2019 kwh
803,3570202.0
804,3614088.0
805,3663074.0
806,3683530.0
807,3689557.0
808,3713093.0
809,3772137.0
810,3862444.0
811,3949332.0
812,3888071.0
813,3782770.0
814,3712799.0
815,3578072.0
816,3432058.0
817,3288734.0
818,3251127.0
819,3226609.0
820,3225697.0
821,3310071.0
822,3531790.0
823,3895804.0
824,4154643.0
825,4182519.0
826,4197963.0
827,4221690.0
828,4191021.0
829,4209429.0
830,4217923.0
831,4183944.0
832,4163810.0
833,4183092.0
834,4233590.0
835,4337324.0
836,4294409.0
837,4215533.0
838,4054268.0
839,3829716.0
840,3644929.0
841,3508796.0
842,3441182.0
843,3413051.0
844,3418353.0
845,3490838.0
846,3732629.0
847,4090659.0
848,4371273.0
849,4376479.0
850,4407179.0
851,4407025.0
852,4367308.0
853,4345449.0
854,4303153.0
855,4244166.0
856,4193358.0
857,4217169.0
858,4290900.0
859,4475628.0
860,4495530.0
861,4444578.0
862,4267690.0
863,4088870.0
864,3867162.0
865,3687657.0
866,3613181.0
867,3563863.0
868,3504313.0
869,3575427.0
870,3766527.0
871,4033434.0
872,4252222.0
873,4283167.0
874,4341444.0
875,4398314.0
876,4387339.0
877,4398897.0
878,4366431.0
879,4309896.0
880,4258503.0
881,4272617.0
882,4344007.0
883,4436870.0
884,4459659.0
885,4352031.0
886,4207235.0
887,3956523.0
888,3779282.0
889,3637189.0
890,3540144.0
891,3504123.0
892,3512172.0
893,3571734.0
894,3780212.0
895,4085435.0
896,4304201.0
897,4336523.0
898,4335451.0
899,4298037.0
900,4253975.0
901,4212111.0
902,4213570.0
903,4200073.0
904,4125726.0
905,4108958.0
906,4174590.0
907,4254815.0
908,4232149.0
909,4176153.0
910,4079385.0
911,3918649.0
912,3736813.0
913,3615116.0
914,3569310.0
915,3543195.0
916,3546914.0
917,3623193.0
918,3840686.0
919,4118302.0
920,4359801.0
921,4400235.0
922,4473132.0
923,4542168.0
924,4550859.0
925,4507797.0
926,4491281.0
927,4454993.0
928,4406569.0
929,4430060.0
930,4465694.0
931,4593551.0
932,4595484.0
933,4520326.0
934,4373592.0
935,4142775.0
936,3921394.0
937,3756540.0
938,3668058.0
939,3600534.0
940,3564061.0
941,3561374.0
942,3635621.0
943,3763141.0
944,3936918.0
945,3961737.0
946,3977944.0
947,4012472.0
948,3951070.0
949,3890296.0
950,3807292.0
951,3756761.0
952,3731734.0
953,3763809.0
954,3900140.0
955,4157552.0
956,4155013.0
957,4125610.0
958,3987049.0
959,3832243.0
960,3670251.0
961,3529772.0
962,3461951.0
963,3401700.0
964,3364351.0
965,3351869.0
966,3401324.0
967,3494559.0
968,3650016.0
969,3724959.0
970,3770619.0
971,3798474.0
972,3843145.0
973,3863963.0
974,3851714.0
975,3863753.0
976,3882276.0
977,3934833.0
978,4063975.0
979,4243380.0
980,4269149.0
981,4212136.0
982,4080228.0
983,3879903.0
984,3754175.0
985,3643770.0
986,3581803.0
987,3554649.0
988,3547765.0
989,3656254.0
990,3882086.0
991,4272422.0
992,4535450.0
993,4515562.0
994,4490965.0
995,4502921.0
996,4452659.0
997,4437978.0
998,4454449.0
999,4394960.0
1000,4363922.0
1001,4352048.0
1002,4382057.0
1003,4586105.0
1004,4588675.0
1005,4509480.0
1006,4344500.0
1007,4114932.0
1008,3896926.0
1009,3758425.0
1010,3687394.0
1011,3640204.0
1012,3644835.0
1013,3703530.0
1014,3886198.0
1015,4177520.0
1016,4408819.0
1017,4446474.0
1018,4509753.0
1019,4531543.0
