Hour,DTE 2019 kWh,CE 2019 kWh,CE+DTE 2019 kWh,Zone 7 Overall 2019 kWh
5641,4459710.87,3340212.0,7799922.87,8887331.850190654
5642,4251305.87,3226754.0,7478059.87,8520597.032555476
5643,4139829.82,3159125.0,7298954.82,8316522.448495519
5644,4013107.41,3139952.0,7153059.41,8150287.352879808
5645,4021736.04,3177902.0,7199638.04,8203359.639469899
5646,4089553.59,3280749.0,7370302.59,8397817.009907134
5647,4248696.7,3364161.0,7612857.7,8674187.403622258
5648,4281292.31,3496285.0,7777577.31,8861871.033409739
5649,4544869.2,3655958.0,8200827.2,9344127.369873576
5650,4769053.66,3798649.0,8567702.66,9762149.959975334
5651,4917713.69,3891903.0,8809616.690000001,10037789.898941422
5652,5041156.36,3887278.0,8928434.36,10173172.271377167
5653,5075545.01,3892980.0,8968525.01,10218852.070598034
5654,5121986.3100000005,3965910.0,9087896.31,10354865.256134659
5655,5204348.59,4021261.0,9225609.59,10511777.528209243
5656,5270314.54,4095684.0,9365998.54,10671738.492893733
5657,5327927.79,4188416.0,9516343.79,10843043.79310241
5658,5425800.81,4150159.0,9575959.809999999,10910971.048558412
5659,5381304.32,4081151.0,9462455.32,10781642.581350552
5660,5202282.95,4021061.0,9223343.95,10509196.029024102
5661,5143058.02,3988739.0,9131797.02,10404886.286436073
5662,5023919.77,3800618.0,8824537.77,10054791.168278746
5663,4776007.87,3526970.0,8302977.87,9460519.149400149
5664,4406649.2,3303462.0,7710111.2,8784999.285034172
5665,4204925.05,3141767.0,7346692.05,8370914.858739811
5666,4055262.15,3051291.0,7106553.15,8097297.525593061
5667,3952532.59,2977582.0,6930114.59,7896261.174333632
5668,3859666.2,2960457.0,6820123.2,7770935.578185302
5669,3840182.91,2987519.0,6827701.91,7779570.8572629215
5670,3861076.09,3056697.0,6917773.09,7882199.111431575
5671,3919217.25,3120674.0,7039891.25,8021342.10437436
5672,3927912.3,3287208.0,7215120.3,8221000.324474638
5673,4180738.09,3446626.0,7627364.09,8690716.169871235
5674,4490895.2,3624892.0,8115787.2,9247231.706527071
5675,4682679.44,3737411.0,8420090.440000001,9593958.709093986
5676,4849302.73,3821820.0,8671122.73,9879988.11009283
5677,4981440.05,3886893.0,8868333.05,10104692.070290105
5678,5101570.72,3939844.0,9041414.719999999,10301903.538161347
5679,5235293.13,4046435.0,9281728.129999999,10575719.710233435
5680,5411667.53,4163188.0,9574855.530000001,10909712.817806765
5681,5551669.78,4268265.0,9819934.780000001,11188959.248912288
5682,5522165.87,4287488.0,9809653.870000001,11177245.048603542
5683,5379269.87,4213609.0,9592878.870000001,10930248.841854503
5684,5231795.9,4215620.0,9447415.9,10764506.473904096
5685,5296392.0600000005,4149374.0,9445766.06,10762626.625112755
5686,5183731.84,3918198.0,9101929.84,10370855.23965351
5687,4939351.67,3672477.0,8611828.67,9812427.699977504
5688,4682795.71,3511587.0,8194382.71,9336784.435566427
