Hour,DTE 2019 kWh
850,5689906.39
851,5741962.54
852,5716110.19
853,5705335.4799999995
854,5710293.68
855,5682700.069999999
856,5622848.649999999
857,5632006.859999999
858,5758488.91
859,5925889.12
860,5893064.35
861,5760178.34
862,5553533.7
863,5266464.24
864,4992145.91
865,4799840.31
866,4716904.81
867,4657983.1899999995
868,4707947.29
869,4743703.04
870,4920874.13
871,5239452.58
872,5509330.06
873,5670018.09
874,5802830.67
875,5906076.2
876,5961153.06
877,5972147.6
878,5964933.53
879,5904420.8
880,5828596.51
881,5786625.96
882,5843874.43
883,5943879.69
884,5904050.02
885,5797072.97
886,5570558.12
887,5250100.649999999
888,4963662.05
889,4785023.59
890,4687110.899999999
891,4632166.53
892,4575174.9399999995
893,4644570.08
894,4873446.11
895,5354956.88
896,5668489.99
897,5725861.31
898,5804366.61
899,5848087.44
900,5838074.59
901,5851896.43
902,5869059.7299999995
903,5843865.07
904,5761062.78
905,5723219.4399999995
906,5751554.41
907,5836486.5
908,5779961.31
909,5648499.71
910,5399124.39
911,5133982.57
912,4906130.65
913,4670092.71
914,4651104.36
915,4625119.6899999995
916,4625491.4
917,4714862.649999999
918,5036330.37
919,5478024.609999999
920,5810197.1
921,5918517.04
922,6005084.51
923,6086986.34
924,6144724.35
925,6122745.0200000005
926,6129686.52
927,6089555.5
928,6033471.37
929,5997619.58
930,6022172.32
931,6202184.9799999995
932,6144424.62
933,6050740.22
934,5878085.67
935,5631645.99
936,5365311.930000001
937,5136166.2
938,5011577.9
939,4898124.09
940,4821097.96
941,4868867.84
942,5019560.63
943,5198839.29
944,5350387.16
945,5416303.62
946,5439109.57
947,5471262.96
948,5422063.36
949,5326549.54
950,5240893.94
951,5169771.77
952,5073310.2
953,5087961.05
954,5235039.2
955,5506924.42
956,5517009.29
957,5486562.98
958,5348295.97
959,5118407.56
960,4895823.12
961,4731427.12
962,4597786.7700000005
963,4547099.64
964,4518617.58
965,4518610.81
966,4590269.74
967,4667434.87
968,4760515.35
969,4846804.4
970,5001915.4799999995
971,5095621.64
972,5109611.92
973,5054270.59
974,5056354.46
975,5113792.79
976,5151487.890000001
977,5175922.85
978,5354026.22
979,5559404.61
980,5559608.81
981,5485223.26
982,5306618.13
983,5078764.72
984,4913490.83
985,4731830.78
986,4635400.95
987,4584620.19
988,4585614.09
989,4652805.67
990,4911053.069999999
991,5369432.78
992,5699749.8100000005
993,5758212.19
994,5868155.73
995,5933586.9799999995
996,5951306.06
997,5917428.86
998,5908710.6
999,5860011.08
1000,5788480.7299999995
1001,5765176.03
1002,5850639.6
1003,6048692.78
1004,6056521.5
1005,5888202.71
1006,5673880.95
1007,5361902.17
1008,5085090.54
1009,4871781.86
1010,4768642.17
1011,4702614.05
1012,4690644.9
1013,4793012.08
1014,5015239.18
1015,5393815.04
1016,5702856.61
1017,5880367.43
1018,5997019.38
1019,6088969.4799999995
1020,6059775.67
1021,5965552.67
1022,5910666.8100000005
1023,5827903.149999999
1024,5777359.42
1025,5709864.03
1026,5798906.33
1027,5889577.86
1028,5855900.44
1029,5713426.34
1030,5537857.3
1031,5263967.31
1032,5023646.93
1033,4904933.7
1034,4796824.01
1035,4705237.26
1036,4706758.109999999
1037,4799301.4
1038,5024645.430000001
1039,5474138.74
1040,5753305.37
1041,5795277.12
1042,5920928.8
1043,5977761.28
1044,5988599.22
1045,5967952.94
1046,5944699.16
1047,5893956.97
1048,5845169.57
1049,5829573.2
1050,5922983.79
1051,6155899.159999999
1052,6104992.3
1053,5986131.06
1054,5800673.5
1055,5453370.33
1056,5212828.13
1057,5028033.87
1058,4950960.319999999
1059,4863190.6
1060,4803863.18
1061,4784705.51
1062,4987417.71
1063,5428453.41
1064,5709372.279999999
1065,5767265.72
1066,5818757.02
1067,5823881.78
1068,5785673.79
1069,5694502.68
1070,5603946.43
1071,5481099.68
1072,5387639.37
1073,5392816.4399999995
1074,5492121.22
1075,5705732.93
1076,5666455.12
1077,5553344.37
1078,5342898.17
1079,5035292.7299999995
1080,4753228.94
1081,4563772.32
1082,4460160.28
1083,4398488.23
1084,4381920.64
1085,4478702.7
1086,4740487.78
1087,5177292.2
1088,5494030.390000001
1089,5606840.06
1090,5712963.51
1091,5770372.79
1092,5765288.82
1093,5735184.9
1094,5672555.8
1095,5590663.34
1096,5530974.06
1097,5520507.07
1098,5593874.83
1099,5877565.82
1100,5885123.5
1101,5783283.74
1102,5604376.35
1103,5341716.02
1104,5071550.77
1105,4890144.96
1106,4719663.64
1107,4624645.23
1108,4544032.29
1109,4550104.140000001
1110,4667319.19
1111,4815548.96
1112,4986292.08
1113,5101000.7299999995
1114,5232461.16
1115,5313591.45
1116,5318785.1
1117,5286206.3
1118,5237452.69
1119,5154901.4399999995
1120,5114190.02
1121,5103933.87
1122,5210257.61
1123,5412756.4
1124,5387635.9399999995
1125,5293888.109999999
1126,5127495.4
1127,4921193.93
1128,4711688.28
1129,4566963.96
1130,4463628.95
1131,4382278.78
1132,4388189.91
1133,4338808.4
1134,4408511.81
1135,4500928.77
1136,4633779.0
1137,4757141.64
1138,4928464.5
1139,5025508.2
1140,5076132.5200000005
1141,5061007.76
1142,5047733.01
1143,5055950.97
1144,5063587.83
1145,5143377.29
1146,5364416.99
1147,5514450.74
1148,5489270.25
1149,5389145.07
1150,5237655.53
1151,5028281.65
1152,4881504.14
1153,4726397.0200000005
1154,4608313.41
1155,4550097.53
1156,4544953.89
1157,4668478.95
1158,4947886.5200000005
1159,5355931.38
1160,5577289.5200000005
1161,5680923.69
1162,5779894.41
1163,5863076.3
1164,5879238.28
1165,5876406.28
1166,5894149.43
1167,5805473.37
1168,5705808.890000001
1169,5679650.2
1170,5736278.24
1171,5979167.75
1172,6035858.83
1173,5973135.84
1174,5753040.96
1175,5502854.5
1176,5235848.29
1177,5036366.1899999995
1178,4999850.89
1179,4961312.21
1180,4964578.6
1181,5057214.2
1182,5295468.7
1183,5712976.36
1184,5924340.32
1185,5998544.05
1186,6014192.38
1187,5942529.5200000005
1188,5923305.06
1189,5865064.9
1190,5805786.99
1191,5691032.75
1192,5622525.05
1193,5584421.45
1194,5645344.75
1195,5902909.91
1196,5997089.68
1197,5903216.83
1198,5735520.18
1199,5434887.34
1200,5159788.08
1201,4982105.63
1202,4830541.41
1203,4766529.88
1204,4751103.529999999
1205,4790714.94
1206,5048809.79
1207,5470834.88
1208,5733642.46
1209,5792643.83
1210,5898974.37
1211,5942202.49
1212,5915769.08
1213,5905855.39
1214,5926352.29
1215,5914336.21
1216,5894086.69
1217,5895837.39
1218,5914044.66
1219,5984330.71
1220,5918960.109999999
1221,5702800.41
1222,5463121.77
1223,5211794.399999999
1224,4909830.45
1225,4766873.42
1226,4688291.49
1227,4587371.9
1228,4584906.46
1229,4661596.09
1230,4882994.66
1231,5322873.54
1232,5575855.0200000005
1233,5650553.66
1234,5697301.66
1235,5701484.54
1236,5666314.96
1237,5634136.02
1238,5648129.77
1239,5597311.88
1240,5514181.94
1241,5503404.14
1242,5529699.31
1243,5775850.52
1244,5794048.56
1245,5742732.58
1246,5530204.19
1247,5209958.82
1248,4961750.6
1249,4804868.24
1250,4700450.76
1251,4651465.109999999
1252,4639621.79
1253,4753844.7
1254,4928698.13
1255,5377535.28
1256,5659786.47
1257,5662486.32
1258,5710508.09
1259,5720236.359999999
1260,5644951.61
1261,5606656.09
1262,5586816.63
1263,5449852.74
1264,5375055.9
1265,5331805.45
1266,5357276.15
1267,5559057.74
1268,5629510.95
1269,5557216.0
1270,5376686.760000001
1271,5097918.140000001
1272,4820805.53
1273,4623005.43
1274,4558514.71
1275,4437794.79
1276,4455714.94
1277,4469887.46
1278,4576536.4
1279,4734384.52
1280,4878140.75
1281,5010928.95
1282,5121505.26
1283,5192151.02
1284,5164499.38
1285,5076853.470000001
1286,5053345.12
1287,4969470.17
1288,4919946.45
1289,4942193.489999999
1290,5057389.09
1291,5235435.14
1292,5223070.82
1293,5168109.05
1294,5027213.39
1295,4771784.1899999995
1296,4543991.13
1297,4368674.13
1298,4282080.64
1299,4191177.85
1300,4108721.44
1301,4052049.95
1302,4096395.6
1303,4161969.57
1304,4257998.58
1305,4522112.39
1306,4738064.7700000005
1307,4927716.02
1308,4965389.87
1309,4954911.37
1310,4941655.11
1311,4927278.91
1312,4949124.47
1313,5080582.05
1314,5217657.75
1315,5387678.37
1316,5412517.74
1317,5330968.59
1318,5194078.38
1319,4969953.57
1320,4852434.08
1321,4709308.14
1322,4651290.26
1323,4600200.49
1324,4614782.82
1325,4731357.69
1326,5059843.77
1327,5581227.6
1328,5859087.94
1329,5971964.98
1330,6080219.13
1331,6121289.7299999995
1332,6086030.01
1333,5960292.819999999
1334,5913969.0
1335,5831520.5600000005
1336,5742334.88
1337,5787619.23
1338,5898679.62
1339,6118223.11
1340,6203319.36
1341,6107606.1
1342,5876016.54
1343,5564274.57
1344,5307911.55
1345,5090001.95
1346,5022103.98
1347,4944788.12
1348,4874641.12
1349,4933150.3
1350,5154628.21
1351,5632121.66
1352,5954884.029999999
1353,6066824.58
1354,6162955.17
1355,6190470.41
1356,6187588.41
1357,6157538.78
1358,6131587.13
1359,6047718.34
1360,5967586.12
1361,5939977.96
1362,6022892.13
1363,6198184.62
1364,6259042.12
1365,6149891.1899999995
1366,5947120.73
1367,5635735.850000001
1368,5328083.6899999995
1369,5102409.1
1370,5003545.27
1371,4917451.96
1372,4862904.82
1373,4960250.42
1374,5214815.04
1375,5682843.58
1376,5947017.319999999
1377,6015946.71
1378,6154916.850000001
1379,6243218.12
1380,6207875.18
1381,6195921.87
1382,6157749.9
1383,6085358.26
1384,5954183.49
1385,5904615.78
1386,5988944.67
1387,6162217.99
1388,6222623.74
1389,6128360.36
1390,5920869.04
1391,5583213.54
1392,5353915.29
1393,5189004.95
1394,5078931.93
1395,4998408.4
1396,4990712.74
1397,5084737.2700000005
1398,5354202.24
1399,5775954.71
1400,5987866.87
1401,6030412.44
1402,6035396.91
1403,6000312.22
1404,5937873.42
1405,5883398.09
1406,5868272.779999999
1407,5826752.84
1408,5769043.12
1409,5739486.08
