Timestamp,Hour,DTE Res kWh,DTE Com kWh,Ann Arbor Res kWh,Ann Arbor Com kWh
2019-08-08 06:00:00,5263.0,1591666.64,2736326.7,120962.19385596208,107645.79177802977
2019-08-08 07:00:00,5264.0,1645045.34,2771312.73,125018.82512215439,109022.12556906426
2019-08-08 08:00:00,5265.0,1778066.7799999998,2871246.64,135128.08092227543,112953.47808900436
2019-08-08 09:00:00,5266.0,1891276.41,2943231.12,143731.69481118736,115785.31331735254
2019-08-08 10:00:00,5267.0,1922779.81,2949180.81,146125.86472224482,116019.37129401295
2019-08-08 11:00:00,5268.0,2184166.42,2903177.08,165990.5128813422,114209.60642178745
2019-08-08 12:00:00,5269.0,2515880.4,2896455.11,191199.843620028,113945.16731699847
2019-08-08 13:00:00,5270.0,2781954.5,2935986.35,211420.72785257726,115500.30750905498
2019-08-08 14:00:00,5271.0,3051384.42,2903750.0,231896.64497906572,114232.14482227358
2019-08-08 15:00:00,5272.0,3314938.36,2858908.82,251926.00413041576,112468.11411447791
2019-08-08 16:00:00,5273.0,3586799.42,2817370.18,272586.681068149,110834.00376055617
2019-08-08 17:00:00,5274.0,3769036.85,2761629.44,286436.21386697196,108641.18954301653
2019-08-08 18:00:00,5275.0,3775539.81,2693820.35,286930.4205610053,105973.61217266903
2019-08-08 19:00:00,5276.0,3544894.12,2726077.51,269401.99597467226,107242.59351495924
2019-08-08 20:00:00,5277.0,3198901.15,2669317.02,243107.50210380738,105009.6628171157
2019-08-08 21:00:00,5278.0,3030818.1900000004,2628491.07,230333.669266924,103403.58934904616
2019-08-08 22:00:00,5279.0,2718775.97,2471729.23,206619.33703282956,97236.65307371735
2019-08-08 23:00:00,5280.0,2280703.62,2415336.63,173327.0689209359,95018.19499361246
2019-08-09 00:00:00,5281.0,1893450.4,2367827.61,143896.91194473294,93149.21272826445
2019-08-09 01:00:00,5282.0,1616933.75,2369650.13,122882.42324394493,93220.90979880479
2019-08-09 02:00:00,5283.0,1434108.0699999998,2326273.4,108988.1850974395,91514.48985794325
2019-08-09 03:00:00,5284.0,1322243.69,2330371.29,100486.80642989579,91675.69890278036
2019-08-09 04:00:00,5285.0,1267129.41,2380661.3600000003,96298.27595872138,93654.08635327105
2019-08-09 05:00:00,5286.0,1266849.2399999998,2495821.94,96276.98382568237,98184.44883364193
2019-08-09 06:00:00,5287.0,1304115.71,2578320.26,99109.13086902771,101429.89353027017
2019-08-09 07:00:00,5288.0,1343732.03,2667345.5700000003,102119.85991195081,104932.10691116311
2019-08-09 08:00:00,5289.0,1416316.02,2746008.42,107636.03927298788,108026.66604102372
2019-08-09 09:00:00,5290.0,1529647.28,2860563.22,116248.89670025698,112533.19742412715
2019-08-09 10:00:00,5291.0,1691453.85,2922461.28,128545.74152670149,114968.23768383882
2019-08-09 11:00:00,5292.0,1868028.31,2863141.95,141964.9045120687,112634.64343663427
2019-08-09 12:00:00,5293.0,2018958.53,2837759.13,153435.17728876206,111636.09536251021
2019-08-09 13:00:00,5294.0,2195710.79,2854963.34,166867.85257471228,112312.900806599
2019-08-09 14:00:00,5295.0,2402790.0300000003,2839736.94,182605.29315613036,111713.90146783985
2019-08-09 15:00:00,5296.0,2656199.16,2812173.32,201863.6752429288,110629.56175826909
2019-08-09 16:00:00,5297.0,2939137.26,2753943.01,223366.17610670108,108338.80904024381
2019-08-09 17:00:00,5298.0,3154884.97,2704995.69,239762.3960595173,106413.24473653235
2019-08-09 18:00:00,5299.0,3192401.87,2632702.91,242613.5750794374,103569.28113272185
2019-08-09 19:00:00,5300.0,3011478.72,2696531.37,228863.92386897333,106080.26241089756
2019-08-09 20:00:00,5301.0,2719354.63,2634971.14,206663.31356744905,103658.51222281234
2019-08-09 21:00:00,5302.0,2591416.97,2600641.97,196940.41076765288,102308.01899196654
2019-08-09 22:00:00,5303.0,2371397.46,2437884.45,180219.54601376585,95905.21551523678
2019-08-09 23:00:00,5304.0,2077145.48,2307823.35,157857.2220492071,90788.6736604131
2019-08-10 00:00:00,5305.0,1784113.9,2277974.14,135587.6450567039,89614.41992660322
2019-08-10 01:00:00,5306.0,1552082.0399999998,2254491.06,117953.87544394162,88690.60672111616
2019-08-10 02:00:00,5307.0,1391506.58,2261433.34,105750.59151946969,88963.71271658986
2019-08-10 03:00:00,5308.0,1281583.69,2254068.82,97396.76063853371,88673.9960002105
2019-08-10 04:00:00,5309.0,1219600.07,2283059.23,92686.17962243961,89814.46495021554
2019-08-10 05:00:00,5310.0,1193824.3099999998,2314738.6,90727.29426318828,91060.71630853441
2019-08-10 06:00:00,5311.0,1199370.68,2368711.82,91148.8028041582,93183.99712939172
2019-08-10 07:00:00,5312.0,1259774.7300000002,2331477.88,95739.34093705847,91719.23162740847
2019-08-10 08:00:00,5313.0,1412188.78,2448435.57,107322.38062586685,96320.2915609973
2019-08-10 09:00:00,5314.0,1595436.66,2501528.76,121248.70478646751,98408.95241994056
2019-08-10 10:00:00,5315.0,1785693.96,2525925.67,135707.72517852142,99368.71526327624
2019-08-10 11:00:00,5316.0,1983542.25,2538124.77,150743.6394884743,99848.62205893752
2019-08-10 12:00:00,5317.0,2170895.22,2543668.7,164981.93895841247,100066.71763005918
2019-08-10 13:00:00,5318.0,2374075.5,2554449.31,180423.06953150072,100490.82170334113
2019-08-10 14:00:00,5319.0,2597067.8800000004,2532586.05,197369.8640549836,99630.73144673948
2019-08-10 15:00:00,5320.0,2831398.68,2520963.9000000004,215178.3466503232,99173.52158984887
2019-08-10 16:00:00,5321.0,3048634.0700000003,2506749.3200000003,231687.62610444025,98614.32676896284
2019-08-10 17:00:00,5322.0,3198102.8,2485277.96,243046.82974626843,97769.65367208769
2019-08-10 18:00:00,5323.0,3136612.5500000003,2442334.31,238373.74346436234,96080.27089257946
2019-08-10 19:00:00,5324.0,2905771.31,2456543.33,220830.45762730372,96639.2469857082
2019-08-10 20:00:00,5325.0,2695597.08,2419587.09,204857.80649930902,95185.40606973172
2019-08-10 21:00:00,5326.0,2590581.39,2361243.3400000003,196876.90903468814,92890.19067602548
2019-08-10 22:00:00,5327.0,2387452.79,2257318.43,181439.7059964375,88801.83411304253
2019-08-10 23:00:00,5328.0,2097676.2,2194831.68,159417.49910109187,86343.63506854034
2019-08-11 00:00:00,5329.0,1809248.39,2142216.35,137497.79569719906,84273.77299486606
2019-08-11 01:00:00,5330.0,1582489.2099999995,2138274.31,120264.73495416617,84118.69501495209
